chr1	856371	857806	2	2	1	1	0	38
chr1	880181	880421	2	2	1	1	0	64
chr1	881667	881781	2	2	1	1	0	64
chr1	892654	894308	2	2	1	1	0	25
chr1	894462	894594	2	2	1	1	0	29
chr1	976778	976857	1	1	1	1	0	35
chr1	979404	979488	1	1	1	1	0	68
chr1	1154014	1154148	2	2	1	1	0	42
chr1	1248505	1248888	2	2	1	1	0	40
chr1	1248973	1249111	2	2	1	2	0	30
chr1	1249302	1249680	2	2	1	1	0	17
chr1	1271896	1273356	2	2	1	1	0	51
chr1	1274034	1274741	2	2	1	1	0	45
chr1	1275697	1275789	2	2	1	1	0	27
chr1	1275884	1277046	2	2	1	1	0	36
chr1	1277537	1277742	2	2	1	1	0	18
chr1	1309826	1310084	2	2	1	1	0	35
chr1	1310171	1310533	2	2	1	1	0	30
chr1	1341267	1342288	2	2	1	2	0	59
chr1	1342400	1342510	2	2	1	1	0	28
chr1	1407470	1412653	1	1	1	1	0	27
chr1	1412731	1414023	1	1	1	1	0	36
chr1	1447854	1451391	1	1	1	1	0	11
chr1	1500297	1509857	2	2	1	1	0	54
chr1	1601176	1601536	2	2	1	1	0	22
chr1	1601591	1602947	2	2	1	1	0	54
chr1	1670497	1670674	2	2	1	1	0	59
chr1	1718493	1718760	2	2	1	1	0	37
chr1	1720709	1721833	2	2	1	2	0	61
chr1	1722036	1724683	2	2	1	1	0	60
chr1	1736021	1737913	2	2	1	1	0	64
chr1	1737978	1747194	2	2	1	1	0	4
chr1	1747302	1749275	2	2	1	1	0	39
chr1	1749315	1756835	2	2	1	3	0	10
chr1	1756939	1770628	2	2	1	3	0	45
chr1	1770678	1811225	2	2	1	1	0	49
chr1	1811342	1822258	2	2	1	1	0	23
chr1	2116953	2125077	2	2	1	1	0	51
chr1	2161175	2234416	1	1	1	1	0	52
chr1	2234543	2234723	1	1	1	1	0	40
chr1	2236025	2237458	1	1	1	1	0	55
chr1	2323398	2324708	1	1	1	1	0	14
chr1	2324795	2327222	1	1	1	1	0	51
chr1	2327311	2328554	1	1	1	2	0	53
chr1	2328660	2330853	1	1	1	1	0	28
chr1	2337274	2337922	2	2	1	1	0	70
chr1	2338059	2338158	2	2	1	1	0	43
chr1	2452755	2453156	2	2	1	1	0	30
chr1	2453240	2457902	2	2	1	1	0	35
chr1	2518388	2518529	1	1	1	1	0	53
chr1	2519232	2519828	1	1	1	1	0	41
chr1	2519893	2519988	1	1	1	1	0	36
chr1	3638772	3639917	1	1	1	1	0	54
chr1	3697901	3698075	2	2	1	1	0	19
chr1	3807622	3809446	2	2	1	1	0	52
chr1	6246877	6252989	2	2	1	4	0	58
chr1	6253115	6257711	2	2	1	3	0	73
chr1	6257811	6259621	2	2	1	1	0	15
chr1	6324756	6341161	2	2	1	1	0	36
chr1	7880701	7886539	1	1	1	1	0	24
chr1	7907943	7909699	2	2	1	1	0	16
chr1	7909744	7910871	2	2	1	1	0	44
chr1	8421551	8421822	2	2	1	1	0	6
chr1	8421937	8422742	2	2	1	1	0	30
chr1	8921489	8922945	2	2	1	5	0	57
chr1	8923005	8923293	2	2	1	2	0	40
chr1	8923403	8923949	2	2	1	3	0	68
chr1	8924152	8925343	2	2	1	6	0	70
chr1	8925542	8926337	2	2	1	3	0	65
chr1	8926561	8927175	2	2	1	3	0	58
chr1	8927310	8928046	2	2	1	2	0	14
chr1	8928117	8930510	2	2	1	2	0	59
chr1	8930570	8931949	2	2	1	2	0	27
